hour_starts_at,consumption_kwh,consumption_unit_price_eur,consumption_cost_eur,production_kwh,production_unit_price_eur,production_profit_eur
2025-07-01T00:00:00.000+02:00,0.359,0.2823172,0.1013518748,0,0.2823172,0
2025-07-01T01:00:00.000+02:00,0.371,0.2630903,0.0976065013,0,0.2630903,0
2025-07-01T02:00:00.000+02:00,0.363,0.2554794,0.0927390222,0,0.2554794,0
2025-07-01T03:00:00.000+02:00,0.369,0.254221,0.093807549,0,0.254221,0
2025-07-01T04:00:00.000+02:00,0.36,0.2565805,0.09236898,0,0.2565805,0
2025-07-01T05:00:00.000+02:00,0.339,0.2645786,0.0896921454,0,0.2645786,0
2025-07-01T06:00:00.000+02:00,0.22,0.2867821,0.063092062,0,0.2867821,0
2025-07-01T07:00:00.000+02:00,0.261,0.2929894,0.0764702334,0.011,0.2929894,0.0032228834
2025-07-01T08:00:00.000+02:00,0.03,0.2859472,0.008578416,0.542,0.2859472,0.1549833824
2025-07-01T09:00:00.000+02:00,0.01,0.2586254,0.002586254,1.1,0.2586254,0.28448794
2025-07-01T10:00:00.000+02:00,0.012,0.2567015,0.003080418,1.415,0.2567015,0.3632326225
2025-07-01T11:00:00.000+02:00,0,0.2369543,0,2.262,0.2369543,0.5359906266
2025-07-01T12:00:00.000+02:00,0,0.1964314,0,3.196,0.1964314,0.6277947544
2025-07-01T13:00:00.000+02:00,0,0.1990571,0,3.849,0.1990571,0.7661707779
2025-07-01T14:00:00.000+02:00,0,0.2051918,0,4.119,0.2051918,0.8451850242
2025-07-01T15:00:00.000+02:00,0,0.2422299,0,4.008,0.2422299,0.9708574392
2025-07-01T16:00:00.000+02:00,0.016,0.2575364,0.0041205824,2.94,0.2575364,0.757157016
2025-07-01T17:00:00.000+02:00,0.146,0.2713909,0.0396230714,1.563,0.2713909,0.4241839767
2025-07-01T18:00:00.000+02:00,0.148,0.3321208,0.0491538784,1.13,0.3321208,0.375296504
2025-07-01T19:00:00.000+02:00,0.017,0.5348684,0.0090927628,1.367,0.5348684,0.7311651028
2025-07-01T20:00:00.000+02:00,0.044,0.7739281,0.0340528364,0.52,0.7739281,0.402442612
2025-07-01T21:00:00.000+02:00,5.721,0.716562,4.099451202,0,0.716562,0
