hour_starts_at,consumption_kwh,consumption_unit_price_eur,consumption_cost_eur,production_kwh,production_unit_price_eur,production_profit_eur
2025-02-01T00:00:00.000+01:00,1.034,0.3134384,0.3240953056,0,0.3134384,0
2025-02-01T01:00:00.000+01:00,0.915,0.3043392,0.278470368,0,0.3043392,0
2025-02-01T02:00:00.000+01:00,0.742,0.2980472,0.2211510224,0,0.2980472,0
2025-02-01T03:00:00.000+01:00,1.505,0.2913196,0.438435998,0,0.2913196,0
2025-02-01T04:00:00.000+01:00,0.888,0.2882704,0.2559841152,0,0.2882704,0
2025-02-01T05:00:00.000+01:00,0.875,0.2907146,0.254375275,0,0.2907146,0
2025-02-01T06:00:00.000+01:00,0.971,0.3008665,0.2921413715,0,0.3008665,0
2025-02-01T07:00:00.000+01:00,0.671,0.3228038,0.2166013498,0,0.3228038,0
2025-02-01T08:00:00.000+01:00,0.914,0.333355,0.30468647,0,0.333355,0
2025-02-01T09:00:00.000+01:00,2.394,0.3200208,0.7661297952,0.001,0.3200208,0.0003200208
2025-02-01T10:00:00.000+01:00,0.959,0.3030324,0.2906080716,0.175,0.3030324,0.05303067
2025-02-01T11:00:00.000+01:00,0.476,0.2929652,0.1394514352,0.565,0.2929652,0.165525338
2025-02-01T12:00:00.000+01:00,0.042,0.2811193,0.0118070106,1.908,0.2811193,0.5363756244
2025-02-01T13:00:00.000+01:00,0,0.2727824,0,3.792,0.2727824,1.0343908608
2025-02-01T14:00:00.000+01:00,0,0.2852454,0,2.703,0.2852454,0.7710183162
2025-02-01T15:00:00.000+01:00,0.153,0.3010117,0.0460547901,0.433,0.3010117,0.1303380661
2025-02-01T16:00:00.000+01:00,0.12,0.328515,0.0394218,1.067,0.328515,0.350525505
2025-02-01T17:00:00.000+01:00,1.702,0.3453703,0.5878202506,0.08,0.3453703,0.027629624
2025-02-01T18:00:00.000+01:00,0.9,0.3482501,0.31342509,0,0.3482501,0
2025-02-01T19:00:00.000+01:00,0.787,0.3448742,0.2714159954,0,0.3448742,0
2025-02-01T20:00:00.000+01:00,1.106,0.3371544,0.3728927664,0,0.3371544,0
2025-02-01T21:00:00.000+01:00,1.156,0.3234088,0.3738605728,0,0.3234088,0
2025-02-01T22:00:00.000+01:00,0.869,0.3191617,0.2773515173,0,0.3191617,0
2025-02-01T23:00:00.000+01:00,0.66,0.3070738,0.202668708,0,0.3070738,0
2025-02-02T00:00:00.000+01:00,0.857,0.308913,0.264738441,0,0.308913,0
2025-02-02T01:00:00.000+01:00,0.779,0.3012295,0.2346577805,0,0.3012295,0
2025-02-02T02:00:00.000+01:00,0.59,0.2964863,0.174926917,0,0.2964863,0
2025-02-02T03:00:00.000+01:00,0.852,0.293667,0.250204284,0,0.293667,0
2025-02-02T04:00:00.000+01:00,0.599,0.2956998,0.1771241802,0,0.2956998,0
2025-02-02T05:00:00.000+01:00,0.832,0.2969945,0.247099424,0,0.2969945,0
2025-02-02T06:00:00.000+01:00,1.027,0.3026573,0.3108290471,0,0.3026573,0
2025-02-02T07:00:00.000+01:00,0.608,0.3121074,0.1897612992,0,0.3121074,0
2025-02-02T08:00:00.000+01:00,1.392,0.3138014,0.4368115488,0,0.3138014,0
2025-02-02T09:00:00.000+01:00,0.143,0.3142854,0.0449428122,0.024,0.3142854,0.0075428496
