hour_starts_at,consumption_kwh,consumption_unit_price_eur,consumption_cost_eur,production_kwh,production_unit_price_eur,production_profit_eur
2024-11-01T00:00:00.000+01:00,1.085,0.310123,0.336483455,0,0.310123,0
2024-11-01T01:00:00.000+01:00,1.035,0.296813,0.307201455,0,0.296813,0
2024-11-01T02:00:00.000+01:00,0.202,0.2773683,0.0560283966,0,0.2773683,0
2024-11-01T03:00:00.000+01:00,0.208,0.2623643,0.0545717744,0,0.2623643,0
2024-11-01T04:00:00.000+01:00,0.197,0.2483404,0.0489230588,0,0.2483404,0
2024-11-01T05:00:00.000+01:00,0.186,0.2557093,0.0475619298,0,0.2557093,0
2024-11-01T06:00:00.000+01:00,0.238,0.264627,0.062981226,0,0.264627,0
2024-11-01T07:00:00.000+01:00,0.278,0.281083,0.078141074,0,0.281083,0
2024-11-01T08:00:00.000+01:00,4.116,0.288464,1.187317824,0,0.288464,0
2024-11-01T09:00:00.000+01:00,0.18,0.295603,0.05320854,0,0.295603,0
2024-11-01T10:00:00.000+01:00,0.126,0.282293,0.035568918,0.004,0.282293,0.001129172
2024-11-01T11:00:00.000+01:00,0.122,0.277453,0.033849266,0.003,0.277453,0.000832359
2024-11-01T12:00:00.000+01:00,1.09,0.266563,0.29055367,0.005,0.266563,0.001332815
2024-11-01T13:00:00.000+01:00,1.207,0.277453,0.334885771,0,0.277453,0
2024-11-01T14:00:00.000+01:00,0.126,0.289553,0.036483678,0.019,0.289553,0.005501507
2024-11-01T15:00:00.000+01:00,0.074,0.3006608,0.0222488992,0.002,0.3006608,0.0006013216
2024-11-01T16:00:00.000+01:00,0.523,0.3122405,0.1633017815,0,0.3122405,0
2024-11-01T17:00:00.000+01:00,0.712,0.315447,0.224598264,0,0.315447,0
2024-11-01T18:00:00.000+01:00,0.526,0.3203959,0.1685282434,0,0.3203959,0
2024-11-01T19:00:00.000+01:00,0.463,0.300322,0.139049086,0,0.300322,0
2024-11-01T20:00:00.000+01:00,0.44,0.2940058,0.129362552,0,0.2940058,0
2024-11-01T21:00:00.000+01:00,0.428,0.283503,0.121339284,0,0.283503,0
2024-11-01T22:00:00.000+01:00,0.406,0.2803691,0.1138298546,0,0.2803691,0
2024-11-01T23:00:00.000+01:00,0.414,0.289432,0.119824848,0,0.289432,0
2024-11-02T00:00:00.000+01:00,0.414,0.2724315,0.112786641,0,0.2724315,0
2024-11-02T01:00:00.000+01:00,0.413,0.2669986,0.1102704218,0,0.2669986,0
2024-11-02T02:00:00.000+01:00,0.402,0.2638647,0.1060736094,0,0.2638647,0
2024-11-02T03:00:00.000+01:00,0.413,0.260513,0.107591869,0,0.260513,0
2024-11-02T04:00:00.000+01:00,0.414,0.2615415,0.108278181,0,0.2615415,0
2024-11-02T05:00:00.000+01:00,0.406,0.2662726,0.1081066756,0,0.2662726,0
2024-11-02T06:00:00.000+01:00,0.427,0.273218,0.116664086,0,0.273218,0
2024-11-02T07:00:00.000+01:00,0.424,0.2775861,0.1176965064,0,0.2775861,0
2024-11-02T08:00:00.000+01:00,0.109,0.2788566,0.0303953694,0.078,0.2788566,0.0217508148
2024-11-02T09:00:00.000+01:00,0.011,0.287375,0.003161125,0.313,0.287375,0.089948375
2024-11-02T10:00:00.000+01:00,0.01,0.2662968,0.002662968,0.683,0.2662968,0.1818807144
2024-11-02T11:00:00.000+01:00,0.004,0.2662484,0.0010649936,1.075,0.2662484,0.28621703
