hour_starts_at,consumption_kwh,consumption_unit_price_eur,consumption_cost_eur,production_kwh,production_unit_price_eur,production_profit_eur
2024-12-01T00:00:00.000+01:00,0.197,0.2770416,0.0545771952,0,0.2770416,0
2024-12-01T01:00:00.000+01:00,0.186,0.2653651,0.0493579086,0,0.2653651,0
2024-12-01T02:00:00.000+01:00,0.18,0.2631024,0.047358432,0,0.2631024,0
2024-12-01T03:00:00.000+01:00,0.412,0.26015,0.1071818,0,0.26015,0
2024-12-01T04:00:00.000+01:00,0.355,0.2584197,0.0917389935,0,0.2584197,0
2024-12-01T05:00:00.000+01:00,0.365,0.2578147,0.0941023655,0,0.2578147,0
2024-12-01T06:00:00.000+01:00,0.72,0.2571613,0.185156136,0,0.2571613,0
2024-12-01T07:00:00.000+01:00,0.789,0.264748,0.208886172,0,0.264748,0
2024-12-01T08:00:00.000+01:00,0.887,0.2764729,0.2452314623,0,0.2764729,0
2024-12-01T09:00:00.000+01:00,0.4,0.270919,0.1083676,0,0.270919,0
2024-12-01T10:00:00.000+01:00,0.035,0.264506,0.00925771,0.296,0.264506,0.078293776
2024-12-01T11:00:00.000+01:00,0.15,0.2561328,0.03841992,0.052,0.2561328,0.0133189056
2024-12-01T12:00:00.000+01:00,0.003,0.2596055,0.0007788165,1.567,0.2596055,0.4068018185
2024-12-01T13:00:00.000+01:00,0,0.2569798,0,2.827,0.2569798,0.7264818946
2024-12-01T14:00:00.000+01:00,0.004,0.2631387,0.0010525548,1.054,0.2631387,0.2773481898
2024-12-01T15:00:00.000+01:00,0.676,0.2838055,0.191852518,0.034,0.2838055,0.009649387
2024-12-01T16:00:00.000+01:00,2.192,0.2985675,0.65445996,0,0.2985675,0
2024-12-01T17:00:00.000+01:00,2.102,0.298991,0.628479082,0,0.298991,0
2024-12-01T18:00:00.000+01:00,0.484,0.3056097,0.1479150948,0,0.3056097,0
2024-12-01T19:00:00.000+01:00,0.441,0.2923481,0.1289255121,0,0.2923481,0
2024-12-01T20:00:00.000+01:00,0.367,0.2697816,0.0990098472,0,0.2697816,0
2024-12-01T21:00:00.000+01:00,0.819,0.2605251,0.2133700569,0,0.2605251,0
2024-12-01T22:00:00.000+01:00,1.342,0.2742949,0.3681037558,0,0.2742949,0
2024-12-01T23:00:00.000+01:00,0.512,0.259303,0.132763136,0,0.259303,0
2024-12-02T00:00:00.000+01:00,3.161,0.2469247,0.7805289767,0,0.2469247,0
2024-12-02T01:00:00.000+01:00,7.562,0.2365671,1.7889204102,0,0.2365671,0
2024-12-02T02:00:00.000+01:00,0.623,0.2309527,0.1438835321,0,0.2309527,0
2024-12-02T03:00:00.000+01:00,0.974,0.212718,0.207187332,0,0.212718,0
2024-12-02T04:00:00.000+01:00,0.65,0.2159245,0.140350925,0,0.2159245,0
2024-12-02T05:00:00.000+01:00,0.456,0.2392412,0.1090939872,0,0.2392412,0
2024-12-02T06:00:00.000+01:00,0.546,0.2683901,0.1465409946,0,0.2683901,0
2024-12-02T07:00:00.000+01:00,0.566,0.3080055,0.174331113,0,0.3080055,0
2024-12-02T08:00:00.000+01:00,0.634,0.309155,0.19600427,0,0.309155,0
2024-12-02T09:00:00.000+01:00,0.416,0.3064204,0.1274708864,0,0.3064204,0
2024-12-02T10:00:00.000+01:00,0.214,0.3033954,0.0649266156,0.008,0.3033954,0.0024271632
2024-12-02T11:00:00.000+01:00,0.218,0.2967767,0.0646973206,0.012,0.2967767,0.0035613204
2024-12-02T12:00:00.000+01:00,0.242,0.2958208,0.0715886336,0.023,0.2958208,0.0068038784
2024-12-02T13:00:00.000+01:00,0.213,0.309397,0.065901561,0.008,0.309397,0.002475176
2024-12-02T14:00:00.000+01:00,0.628,0.3186535,0.200114398,0,0.3186535,0
2024-12-02T15:00:00.000+01:00,1.132,0.3281883,0.3715091556,0,0.3281883,0
2024-12-02T16:00:00.000+01:00,0.475,0.3316005,0.1575102375,0,0.3316005,0
2024-12-02T17:00:00.000+01:00,1.115,0.3344077,0.3728645855,0,0.3344077,0
2024-12-02T18:00:00.000+01:00,0.814,0.3358718,0.2733996452,0,0.3358718,0
2024-12-02T19:00:00.000+01:00,0.728,0.3243647,0.2361375016,0,0.3243647,0
2024-12-02T20:00:00.000+01:00,0.678,0.3030203,0.2054477634,0,0.3030203,0
2024-12-02T21:00:00.000+01:00,0.337,0.2936791,0.0989698567,0,0.2936791,0
2024-12-02T22:00:00.000+01:00,0.795,0.2926264,0.232637988,0,0.2926264,0
2024-12-02T23:00:00.000+01:00,6.977,0.2806474,1.9580769098,0,0.2806474,0
2024-12-03T00:00:00.000+01:00,6.405,0.2906783,1.8617945115,0,0.2906783,0
2024-12-03T01:00:00.000+01:00,2.637,0.266442,0.702607554,0,0.266442,0
2024-12-03T02:00:00.000+01:00,0.615,0.262933,0.161703795,0,0.262933,0
2024-12-03T03:00:00.000+01:00,1.039,0.261481,0.271678759,0,0.261481,0
2024-12-03T04:00:00.000+01:00,0.751,0.2713546,0.2037873046,0,0.2713546,0
2024-12-03T05:00:00.000+01:00,0.511,0.2805506,0.1433613566,0,0.2805506,0
2024-12-03T06:00:00.000+01:00,0.615,0.3015804,0.185471946,0,0.3015804,0
2024-12-03T07:00:00.000+01:00,0.75,0.328273,0.24620475,0,0.328273,0
2024-12-03T08:00:00.000+01:00,0.643,0.3447774,0.2216918682,0,0.3447774,0
2024-12-03T09:00:00.000+01:00,0.488,0.3392719,0.1655646872,0,0.3392719,0
2024-12-03T10:00:00.000+01:00,0.125,0.3286239,0.0410779875,0.067,0.3286239,0.0220178013
2024-12-03T11:00:00.000+01:00,0.188,0.3151324,0.0592448912,0.222,0.3151324,0.0699593928
2024-12-03T12:00:00.000+01:00,0.4,0.3102803,0.12411212,0.113,0.3102803,0.0350616739
2024-12-03T13:00:00.000+01:00,0.12,0.3278132,0.039337584,0.406,0.3278132,0.1330921592
2024-12-03T14:00:00.000+01:00,0.032,0.335533,0.010737056,0.35,0.335533,0.11743655
2024-12-03T15:00:00.000+01:00,0.03,0.3572888,0.010718664,0.222,0.3572888,0.0793181136
2024-12-03T16:00:00.000+01:00,0.204,0.398574,0.081309096,0.002,0.398574,0.000797148
2024-12-03T17:00:00.000+01:00,1,0.4095124,0.4095124,0,0.4095124,0
2024-12-03T18:00:00.000+01:00,1.455,0.3958878,0.576016749,0,0.3958878,0
2024-12-03T19:00:00.000+01:00,0.899,0.3861473,0.3471464227,0,0.3861473,0
2024-12-03T20:00:00.000+01:00,0.881,0.3602654,0.3173938174,0,0.3602654,0
2024-12-03T21:00:00.000+01:00,0.889,0.3417403,0.3038071267,0,0.3417403,0
2024-12-03T22:00:00.000+01:00,2.912,0.3283698,0.9562128576,0,0.3283698,0
2024-12-03T23:00:00.000+01:00,0.734,0.3147331,0.2310140954,0,0.3147331,0
2024-12-04T00:00:00.000+01:00,0.742,0.302863,0.224724346,0,0.302863,0
2024-12-04T01:00:00.000+01:00,0.776,0.2976116,0.2309466016,0,0.2976116,0
2024-12-04T02:00:00.000+01:00,0.683,0.2929289,0.2000704387,0,0.2929289,0
