hour_starts_at,consumption_kwh,consumption_unit_price_eur,consumption_cost_eur,production_kwh,production_unit_price_eur,production_profit_eur
2025-05-01T00:00:00.000+02:00,0.143,0.2601379,0.0371997197,0,0.2601379,0
2025-05-01T01:00:00.000+02:00,0.147,0.2534829,0.0372619863,0,0.2534829,0
2025-05-01T02:00:00.000+02:00,0.149,0.2516437,0.0374949113,0,0.2516437,0
2025-05-01T03:00:00.000+02:00,0.147,0.2525028,0.0371179116,0,0.2525028,0
2025-05-01T04:00:00.000+02:00,1.094,0.2516074,0.2752584956,0,0.2516074,0
2025-05-01T05:00:00.000+02:00,0.212,0.2453154,0.0520068648,0,0.2453154,0
2025-05-01T06:00:00.000+02:00,0.427,0.2532409,0.1081338643,0.004,0.2532409,0.0010129636
2025-05-01T07:00:00.000+02:00,0.007,0.2534345,0.0017740415,0.134,0.2534345,0.033960223
2025-05-01T08:00:00.000+02:00,0.009,0.2507362,0.0022566258,0.821,0.2507362,0.2058544202
2025-05-01T09:00:00.000+02:00,0.004,0.1476684,0.0005906736,1.48,0.1476684,0.218549232
2025-05-01T10:00:00.000+02:00,0.001,0.1440384,0.0001440384,1.844,0.1440384,0.2656068096
2025-05-01T11:00:00.000+02:00,0,0.0991474,0,2.905,0.0991474,0.288023197
2025-05-01T12:00:00.000+02:00,0.004,0.0169037,6.76148e-05,3.802,0.0169037,0.0642678674
2025-05-01T13:00:00.000+02:00,0.985,-0.0246598,-0.024289903,0.092,-0.0246598,-0.0022687016
2025-05-01T14:00:00.000+02:00,0,0.0047674,0,4.747,0.0047674,0.0226308478
2025-05-01T15:00:00.000+02:00,0,0.0871805,0,4.533,0.0871805,0.3951892065
2025-05-01T16:00:00.000+02:00,0,0.1414127,0,3.872,0.1414127,0.5475499744
2025-05-01T17:00:00.000+02:00,0,0.2036188,0,2.758,0.2036188,0.5615806504
2025-05-01T18:00:00.000+02:00,0,0.2640341,0,2.226,0.2640341,0.5877399066
2025-05-01T19:00:00.000+02:00,0.004,0.3048111,0.0012192444,1.206,0.3048111,0.3676021866
2025-05-01T20:00:00.000+02:00,0.049,0.3474152,0.0170233448,0.037,0.3474152,0.0128543624
2025-05-01T21:00:00.000+02:00,0.143,0.3009754,0.0430394822,0,0.3009754,0
2025-05-01T22:00:00.000+02:00,0.15,0.274549,0.04118235,0,0.274549,0
2025-05-01T23:00:00.000+02:00,0.143,0.2576453,0.0368432779,0,0.2576453,0
2025-05-02T00:00:00.000+02:00,0.145,0.2638284,0.038255118,0,0.2638284,0
2025-05-02T01:00:00.000+02:00,0.152,0.2592304,0.0394030208,0,0.2592304,0
2025-05-02T02:00:00.000+02:00,0.141,0.2468884,0.0348112644,0,0.2468884,0
2025-05-02T03:00:00.000+02:00,0.148,0.2342318,0.0346663064,0,0.2342318,0
2025-05-02T04:00:00.000+02:00,0.157,0.2307712,0.0362310784,0,0.2307712,0
