hour_starts_at,consumption_kwh,consumption_unit_price_eur,consumption_cost_eur,production_kwh,production_unit_price_eur,production_profit_eur
2025-12-01T00:00:00.000+01:00,0.652,0.251991575,0.1642985069,0,0.251991575,0
2025-12-01T01:00:00.000+01:00,1.058,0.24874575,0.2631730035,0,0.24874575,0
2025-12-01T02:00:00.000+01:00,1.455,0.24252635,0.35287583925,0,0.24252635,0
2025-12-01T03:00:00.000+01:00,0.674,0.22926475,0.1545244415,0,0.22926475,0
2025-12-01T04:00:00.000+01:00,0.722,0.2234265,0.161313933,0,0.2234265,0
2025-12-01T05:00:00.000+01:00,1.457,0.2202684,0.3209310588,0,0.2202684,0
2025-12-01T06:00:00.000+01:00,0.737,0.229437175,0.169095197975,0,0.229437175,0
2025-12-01T07:00:00.000+01:00,0.735,0.256075325,0.188215363875,0,0.256075325,0
2025-12-01T08:00:00.000+01:00,0.622,0.26804525,0.1667241455,0,0.26804525,0
2025-12-01T09:00:00.000+01:00,0.662,0.2718991,0.1799972042,0,0.2718991,0
2025-12-01T10:00:00.000+01:00,0.405,0.251489425,0.101853217125,0,0.251489425,0
2025-12-01T11:00:00.000+01:00,0.086,0.2443111,0.0210107546,0.096,0.2443111,0.0234538656
2025-12-01T12:00:00.000+01:00,0.37,0.2408263,0.089105731,0.111,0.2408263,0.0267317193
2025-12-01T13:00:00.000+01:00,0.31,0.25190385,0.0780901935,0.01,0.25190385,0.0025190385
2025-12-01T14:00:00.000+01:00,1.075,0.2608034,0.280363655,0,0.2608034,0
2025-12-01T15:00:00.000+01:00,1.601,0.2573549,0.4120251949,0,0.2573549,0
2025-12-01T16:00:00.000+01:00,0.723,0.2605614,0.1883858922,0,0.2605614,0
2025-12-01T17:00:00.000+01:00,0.533,0.2682328,0.1429680824,0,0.2682328,0
2025-12-01T18:00:00.000+01:00,1.157,0.25852255,0.29911059035,0,0.25852255,0
2025-12-01T19:00:00.000+01:00,0.617,0.252657075,0.155889415275,0,0.252657075,0
2025-12-01T20:00:00.000+01:00,1.054,0.250987275,0.26454058785,0,0.250987275,0
2025-12-01T21:00:00.000+01:00,0.663,0.240841425,0.159677864775,0,0.240841425,0
2025-12-01T22:00:00.000+01:00,0.455,0.240109375,0.109249765625,0,0.240109375,0
2025-12-01T23:00:00.000+01:00,0.446,0.2333122,0.1040572412,0,0.2333122,0
2025-12-02T00:00:00.000+01:00,0.436,0.225232425,0.0982013373,0,0.225232425,0
2025-12-02T01:00:00.000+01:00,0.446,0.21923385,0.0977782971,0,0.21923385,0
2025-12-02T02:00:00.000+01:00,0.454,0.21311125,0.0967525075,0,0.21311125,0
2025-12-02T03:00:00.000+01:00,0.709,0.2092332,0.1483463388,0,0.2092332,0
2025-12-02T04:00:00.000+01:00,6.194,0.206713375,1.28038264475,0,0.206713375,0
2025-12-02T05:00:00.000+01:00,0.773,0.222878975,0.172285447675,0,0.222878975,0
2025-12-02T06:00:00.000+01:00,0.577,0.2420484,0.1396619268,0,0.2420484,0
2025-12-02T07:00:00.000+01:00,0.775,0.244483525,0.189474731875,0,0.244483525,0
2025-12-02T08:00:00.000+01:00,0.735,0.256807375,0.188753420625,0,0.256807375,0
2025-12-02T09:00:00.000+01:00,0.706,0.2480984,0.1751574704,0,0.2480984,0
2025-12-02T10:00:00.000+01:00,0.748,0.254030425,0.1900147579,0,0.254030425,0
2025-12-02T11:00:00.000+01:00,0.439,0.2523818,0.1107956102,0,0.2523818,0
2025-12-02T12:00:00.000+01:00,0.22,0.2531441,0.055691702,0.013,0.2531441,0.0032908733
2025-12-02T13:00:00.000+01:00,0.366,0.2564474,0.0938597484,0.003,0.2564474,0.0007693422
2025-12-02T14:00:00.000+01:00,1.024,0.256704525,0.2628654336,0,0.256704525,0
2025-12-02T15:00:00.000+01:00,1.404,0.264533225,0.3714046479,0,0.264533225,0
2025-12-02T16:00:00.000+01:00,1.284,0.2937396,0.3771616464,0,0.2937396,0
2025-12-02T17:00:00.000+01:00,1.27,0.317658275,0.40342600925,0,0.317658275,0
2025-12-02T18:00:00.000+01:00,0.614,0.2922997,0.1794720158,0,0.2922997,0
2025-12-02T19:00:00.000+01:00,0.578,0.2795584,0.1615847552,0,0.2795584,0
2025-12-02T20:00:00.000+01:00,0.929,0.262621425,0.243975303825,0,0.262621425,0
2025-12-02T21:00:00.000+01:00,0.682,0.2549833,0.1738986106,0,0.2549833,0
2025-12-02T22:00:00.000+01:00,0.802,0.2536402,0.2034194404,0,0.2536402,0
2025-12-02T23:00:00.000+01:00,1.666,0.26180165,0.4361615489,0,0.26180165,0
2025-12-03T00:00:00.000+01:00,2.825,0.2482436,0.70128817,0,0.2482436,0
2025-12-03T01:00:00.000+01:00,0.798,0.250479075,0.19988230185,0,0.250479075,0
2025-12-03T02:00:00.000+01:00,0.567,0.24997995,0.14173863165,0,0.24997995,0
2025-12-03T03:00:00.000+01:00,0.621,0.247085025,0.153439800525,0,0.247085025,0
2025-12-03T04:00:00.000+01:00,0.493,0.246879325,0.121711507225,0,0.246879325,0
2025-12-03T05:00:00.000+01:00,2.613,0.25154085,0.65727624105,0,0.25154085,0
2025-12-03T06:00:00.000+01:00,2.041,0.24926,0.50873966,0,0.24926,0
2025-12-03T07:00:00.000+01:00,0.631,0.278091275,0.175475594525,0,0.278091275,0
2025-12-03T08:00:00.000+01:00,0.937,0.3350248,0.3139182376,0,0.3350248,0
2025-12-03T09:00:00.000+01:00,0.929,0.319945175,0.297229067575,0,0.319945175,0
2025-12-03T10:00:00.000+01:00,3.725,0.304378525,1.133810005625,0,0.304378525,0
2025-12-03T11:00:00.000+01:00,0.486,0.304941175,0.14820141105,0.024,0.304941175,0.0073185882
2025-12-03T12:00:00.000+01:00,0.045,0.303525475,0.013658646375,0.192,0.303525475,0.0582768912
