hour_starts_at,consumption_kwh,consumption_unit_price_eur,consumption_cost_eur,production_kwh,production_unit_price_eur,production_profit_eur
2025-04-01T00:00:00.000+02:00,0.167,0.269104,0.044940368,0,0.269104,0
2025-04-01T01:00:00.000+02:00,0.541,0.2602831,0.1408131571,0,0.2602831,0
2025-04-01T02:00:00.000+02:00,0.489,0.2575848,0.1259589672,0,0.2575848,0
2025-04-01T03:00:00.000+02:00,0.163,0.2571734,0.0419192642,0,0.2571734,0
2025-04-01T04:00:00.000+02:00,0.64,0.2550075,0.1632048,0,0.2550075,0
2025-04-01T05:00:00.000+02:00,0.57,0.2657039,0.151451223,0,0.2657039,0
2025-04-01T06:00:00.000+02:00,0.538,0.2950827,0.1587544926,0,0.2950827,0
2025-04-01T07:00:00.000+02:00,0.461,0.3603138,0.1661046618,0,0.3603138,0
2025-04-01T08:00:00.000+02:00,0.14,0.3405061,0.047670854,0.054,0.3405061,0.0183873294
2025-04-01T09:00:00.000+02:00,0.006,0.2764366,0.0016586196,1.134,0.2764366,0.3134791044
2025-04-01T10:00:00.000+02:00,0.003,0.2414434,0.0007243302,1.549,0.2414434,0.3739958266
2025-04-01T11:00:00.000+02:00,0,0.2114596,0,2.833,0.2114596,0.5990650468
2025-04-01T12:00:00.000+02:00,0.005,0.1597684,0.000798842,3.56,0.1597684,0.568775504
2025-04-01T13:00:00.000+02:00,0,0.1234684,0,4.797,0.1234684,0.5922779148
2025-04-01T14:00:00.000+02:00,0.179,0.1113684,0.0199349436,2.526,0.1113684,0.2813165784
2025-04-01T15:00:00.000+02:00,0.002,0.1440384,0.0002880768,4.286,0.1440384,0.6173485824
2025-04-01T16:00:00.000+02:00,0,0.1973994,0,4.12,0.1973994,0.813285528
2025-04-01T17:00:00.000+02:00,0.084,0.2307591,0.0193837644,2.315,0.2307591,0.5342073165
2025-04-01T18:00:00.000+02:00,0.016,0.2756622,0.0044105952,1.562,0.2756622,0.4305843564
2025-04-01T19:00:00.000+02:00,0.346,0.3167296,0.1095884416,0.167,0.3167296,0.0528938432
2025-04-01T20:00:00.000+02:00,0.331,0.3063962,0.1014171422,0,0.3063962,0
2025-04-01T21:00:00.000+02:00,0.246,0.273823,0.067360458,0,0.273823,0
2025-04-01T22:00:00.000+02:00,0.273,0.2597991,0.0709251543,0,0.2597991,0
2025-04-01T23:00:00.000+02:00,0.248,0.2416249,0.0599229752,0,0.2416249,0
2025-04-02T00:00:00.000+02:00,0.157,0.2270807,0.0356516699,0,0.2270807,0
2025-04-02T01:00:00.000+02:00,0.197,0.2239468,0.0441175196,0,0.2239468,0
2025-04-02T02:00:00.000+02:00,0.17,0.2235959,0.038011303,0,0.2235959,0
2025-04-02T03:00:00.000+02:00,0.164,0.2245276,0.0368225264,0,0.2245276,0
2025-04-02T04:00:00.000+02:00,0.163,0.2252657,0.0367183091,0,0.2252657,0
2025-04-02T05:00:00.000+02:00,0.545,0.2413345,0.1315273025,0,0.2413345,0
2025-04-02T06:00:00.000+02:00,0.517,0.2778886,0.1436684062,0,0.2778886,0
2025-04-02T07:00:00.000+02:00,0.385,0.3231184,0.124400584,0,0.3231184,0
2025-04-02T08:00:00.000+02:00,0.059,0.29645,0.01749055,0.171,0.29645,0.05069295
2025-04-02T09:00:00.000+02:00,0.008,0.2441054,0.0019528432,0.734,0.2441054,0.1791733636
2025-04-02T10:00:00.000+02:00,0.004,0.1977019,0.0007908076,1.249,0.1977019,0.2469296731
2025-04-02T11:00:00.000+02:00,0.003,0.1356894,0.0004070682,1.873,0.1356894,0.2541462462
2025-04-02T12:00:00.000+02:00,0.006,0.1113684,0.0006682104,2.408,0.1113684,0.2681751072
2025-04-02T13:00:00.000+02:00,0.004,0.0871684,0.0003486736,2.441,0.0871684,0.2127780644
2025-04-02T14:00:00.000+02:00,0.012,0.0823284,0.0009879408,1.725,0.0823284,0.14201649
